original_text,perturbed_text,label
"Restive [[Maldives]] [[eases]] [[curfew]] after rounding up dissidents ([[AFP]]) [[AFP]] - A [[curfew]] in the [[capital]] of the Maldives was [[eased]] but [[parliament]] sessions were [[put]] off indefinitely and [[emergency]] rule [[continued]] [[following]] [[last]] week's riots, [[officials]] and residents said.","Restive [[Maldievs]] [[easehs]] [[lcurfew]] after rounding up dissidents ([[DFP]]) [[AAFP]] - A [[curew]] in the [[capIital]] of the Maldives was [[eaosed]] but [[parlaiment]] sessions were [[ut]] off indefinitely and [[emergencMy]] rule [[scontinued]] [[followig]] [[lazst]] week's riots, [[offiacials]] and residents said.",0
"[[Alleged]] U.S. [[Deserter]] [[Set]] to [[Surrender]] [[TOKYO]] - Accused U.S. [[Army]] deserter [[Charles]] Jenkins [[left]] his Tokyo hospital for an American military base to surrender to [[military]] authorities [[Saturday]], nearly 40 [[years]] after he [[allegedly]] defected to [[North]] Korea...","[[Aleged]] U.S. [[DesNerter]] [[Sect]] to [[Sugrrender]] [[TOKYSO]] - Accused U.S. [[Arm]] deserter [[Chalres]] Jenkins [[lef]] his Tokyo hospital for an American military base to surrender to [[Ymilitary]] authorities [[Satufday]], nearly 40 [[yeas]] after he [[allejgedly]] defected to [[NorXh]] Korea...",0
"[[Strahan]] out for the season It #39;s [[bad]] enough when a team loses both starting defensive ends in one game. But when one of them is named [[Michael]] [[Strahan]], it becomes a near disaster.","[[Strhaan]] out for the season It #39;s [[baZd]] enough when a team loses both starting defensive ends in one game. But when one of them is named [[Mchael]] [[StrahaX]], it becomes a near disaster.",1
"[[US]] Airways, [[Pilots]] [[Union]] [[Near]] [[Agreement]] [[US]] Airways is seeking \$[[800]] million in concessions from [[employee]] unions as it attempts to [[avoid]] [[filing]] Chapter 11. [[The]] Air Line [[Pilots]] Association will [[present]] its proposal on the [[evening]] of ","[[SU]] Airways, [[Pilopts]] [[Unin]] [[ear]] [[ALreement]] [[S]] Airways is seeking \$[[80]] million in concessions from [[employe]] unions as it attempts to [[void]] [[Rfiling]] Chapter 11. [[hTe]] Air Line [[Pilos]] Association will [[preseUnt]] its proposal on the [[eveinng]] of ",2
"Cloud rat [[arrives]] at London Zoo [[London]] zoo celebrates the birth of a Panay cloud rat, a very rare [[tree-living]] [[rodent]] from the Philippines.","Cloud rat [[aGrrives]] at London Zoo [[Londo]] zoo celebrates the birth of a Panay cloud rat, a very rare [[tree-liivng]] [[rodnet]] from the Philippines.",3
"Military Buoys Profit at [[Defense]] Firms  [[CHICAGO]] ([[Reuters]]) - Robust [[demand]] for military equipment  and technology led four U.S. defense companies to [[post]] higher  quarterly profit on [[Wednesday]], with [[jet]] maker Boeing Co. &lt;A [[HREF]]=""http://www.[[investor]].reuters.com/FullQuote.aspx?ticker=BA.N target=/stocks/quickinfo/fullquote""&gt;BA.N&lt;/A&gt;  reporting a 78 percent jump in earnings [[despite]] a decline in  commercial airplane revenue.","Military Buoys Profit at [[Dfeense]] Firms  [[HICAGO]] ([[Reputers]]) - Robust [[dXemand]] for military equipment  and technology led four U.S. defense companies to [[psot]] higher  quarterly profit on [[HWednesday]], with [[tjet]] maker Boeing Co. &lt;A [[GHREF]]=""http://www.[[inestor]].reuters.com/FullQuote.aspx?ticker=BA.N target=/stocks/quickinfo/fullquote""&gt;BA.N&lt;/A&gt;  reporting a 78 percent jump in earnings [[deMspite]] a decline in  commercial airplane revenue.",2
"[[Gunfire]] Erupts During [[Powell]] [[Visit]] to [[Haiti]]  PORT-AU-PRINCE, Haiti (Reuters) - Shooting erupted on  Wednesday [[outside]] [[Haiti's]] [[presidential]] palace while Secretary  of State [[Colin]] [[Powell]] was [[inside]] talking with the [[interim]]  leaders of the violence-plagued country.","[[Ggunfire]] Erupts During [[Pwoell]] [[Vsiit]] to [[aiti]]  PORT-AU-PRINCE, Haiti (Reuters) - Shooting erupted on  Wednesday [[outisde]] [[Haitips]] [[presidnetial]] palace while Secretary  of State [[Coiln]] [[YPowell]] was [[iside]] talking with the [[interhim]]  leaders of the violence-plagued country.",0
Rules for [[Overtime]] Pay To Take [[Effect]] [[Monday]] Employers and workers are confused by eligibility and classification of the new regulations.,Rules for [[Ovekrtime]] Pay To Take [[jffect]] [[MEnday]] Employers and workers are confused by eligibility and classification of the new regulations.,2
"Her aim: Give Tufts-NEMC intensive care [[For]] 10 years, Ellen Zane oversaw community doctors for Partners [[HealthCare]], the parent organization of Massachusetts General and Brigham and [[Women's]] [[hospitals]] and the biggest and most profitable hospital and physician network in [[Massachusetts]]. Then in December, she became chief executive of a very different institution: Tufts-New England Medical Center in Boston's Chinatown neighborhood. Tufts-NEMC is not only smaller, it's ...","Her aim: Give Tufts-NEMC intensive care [[Fro]] 10 years, Ellen Zane oversaw community doctors for Partners [[HealtCare]], the parent organization of Massachusetts General and Brigham and [[Wmoen's]] [[hospitapls]] and the biggest and most profitable hospital and physician network in [[MaPsachusetts]]. Then in December, she became chief executive of a very different institution: Tufts-New England Medical Center in Boston's Chinatown neighborhood. Tufts-NEMC is not only smaller, it's ...",2
"[[Fannie]] Mae [[Pays]] the Price of Cutting Corners to Look [[Safe]] [[Two]] regulatory agencies have concluded that [[Fannie]] [[Mae]] cut corners when it came to its accounting, and that has severely damaged its [[image]].","[[annie]] Mae [[Pyas]] the Price of Cutting Corners to Look [[Eafe]] [[Tw]] regulatory agencies have concluded that [[Fanie]] [[Ma]] cut corners when it came to its accounting, and that has severely damaged its [[iEmage]].",2
Turkey a step [[closer]] to Brussels The European Commission is [[set]] to [[give]] the green [[light]] [[later]] today to accession [[talks]] with Turkey. EU [[leaders]] will take a final decision in December.,Turkey a step [[colser]] to Brussels The European Commission is [[Het]] to [[Pive]] the green [[ligyht]] [[Qater]] today to accession [[alks]] with Turkey. EU [[leders]] will take a final decision in December.,0
"[[Science]] ; As ice thaws, [[arctic]] peoples at loss for words [[Science]] [[News]], Iceland, What are the words used by indigenous peoples in the [[Arctic]] for  quot;[[hornet]], quot;  quot;robin, quot;  quot;elk, quot;  quot;barn owl quot; or  quot;salmon?","[[Sciance]] ; As ice thaws, [[acrtic]] peoples at loss for words [[eScience]] [[jews]], Iceland, What are the words used by indigenous peoples in the [[Arctci]] for  quot;[[hornte]], quot;  quot;robin, quot;  quot;elk, quot;  quot;barn owl quot; or  quot;salmon?",3
Rain threatens triangular final ([[AFP]]) [[AFP]] - Organisers were left banking on the Dutch weather to spare Saturday's final of the triangular [[cricket]] tournament after deciding against altering the fixture schedule in a bid to beat the rain that has marred this warm-up event for next month's ICC Champions Trophy in England.,Rain threatens triangular final ([[AP]]) [[kAFP]] - Organisers were left banking on the Dutch weather to spare Saturday's final of the triangular [[cHricket]] tournament after deciding against altering the fixture schedule in a bid to beat the rain that has marred this warm-up event for next month's ICC Champions Trophy in England.,0
"Stelco Loses Contract to Supply [[GM]] Steel (Reuters) Reuters - Stelco Inc.\(STEa.TO) has lost a contract to supply steel to General Motors\[[Inc]]. , its [[biggest]] customer, because the insolvent\[[Canadian]] steelmaker failed to [[strike]] a [[deal]] with its workers,\the union at Stelco said on Monday.","Stelco Loses Contract to Supply [[Gt]] Steel (Reuters) Reuters - Stelco Inc.\(STEa.TO) has lost a contract to supply steel to General Motors\[[QInc]]. , its [[iggest]] customer, because the insolvent\[[anadian]] steelmaker failed to [[sQtrike]] a [[deac]] with its workers,\the union at Stelco said on Monday.",2
Bauman: Lapse cost Twins game It is easy to look at the final game of a [[postseason]] series as the game that meant everything. But this particular series took a decisive turn two games before the end arrived Saturday.,Bauman: Lapse cost Twins game It is easy to look at the final game of a [[postseasoX]] series as the game that meant everything. But this particular series took a decisive turn two games before the end arrived Saturday.,1
"S.Africa Cancels Thatcher [[Meeting]] with [[Eq]]. [[Guinea]] [[South]] [[Africa]] has canceled a meeting with prosecutors from Equatorial [[Guinea]] who had [[hoped]] to interview Mark [[Thatcher]] on his suspected [[links]] to a [[coup]] [[plot]] in the [[oil-rich]] [[country]], officials [[said]] on Sunday.","S.Africa Cancels Thatcher [[Meeitng]] with [[qE]]. [[uinea]] [[Louth]] [[AfrGica]] has canceled a meeting with prosecutors from Equatorial [[Gwinea]] who had [[hnped]] to interview Mark [[Thatchre]] on his suspected [[Zlinks]] to a [[ocup]] [[lot]] in the [[oiSl-rich]] [[ncountry]], officials [[Baid]] on Sunday.",0
"[[Protests]] in [[Canada]] over Ukraine crisis ([[AFP]]) [[AFP]] - Hundreds of [[Canadians]], many of Ukrainian [[descent]], [[braved]] [[freezing]] [[temperatures]] to [[protest]] what they consider to be the fixed outcome of the Ukrainian [[presidential]] election.","[[Prtoests]] in [[Caada]] over Ukraine crisis ([[AzP]]) [[AF]] - Hundreds of [[Canadains]], many of Ukrainian [[desKcent]], [[raved]] [[freezin]] [[tewperatures]] to [[rotest]] what they consider to be the fixed outcome of the Ukrainian [[presidenutial]] election.",0
"[[IBM]] To Amp Integration with [[Venetica]] Buy ([[NewsFactor]]) [[NewsFactor]] - [[IBM]] (NYSE: IBM) has said it will purchase [[Venetica]], a privately held firm that provides [[content-integration]] software to [[unstructured]] data sources.","[[IM]] To Amp Integration with [[Venetcia]] Buy ([[NewsFctor]]) [[NewsFactoC]] - [[IB]] (NYSE: IBM) has said it will purchase [[Venetrca]], a privately held firm that provides [[content-integratiAn]] software to [[unstructrued]] data sources.",3
"Florida #39;s [[prepaid]] [[tuition]] program thriving Already the biggest of its kind in the country, Florida #39;s popular prepaid-tuition program expects to count its millionth customer during a sign-up period that runs Monday through Jan. 31.","Florida #39;s [[prpaid]] [[tuithion]] program thriving Already the biggest of its kind in the country, Florida #39;s popular prepaid-tuition program expects to count its millionth customer during a sign-up period that runs Monday through Jan. 31.",2
[[UN]] #39;s Kofe Annan Calls [[Iraq]] War [[Illegal]] [[United]] Nations Secretary [[General]] [[Kofi]] [[Annan]] said this week that the US war in Iraq is illegal and questioned whether the country could [[hold]] credible ,[[eN]] #39;s Kofe Annan Calls [[IraJq]] War [[Illegl]] [[UnitTd]] Nations Secretary [[Genepral]] [[KXofi]] [[AnCnan]] said this week that the US war in Iraq is illegal and questioned whether the country could [[hXold]] credible ,0
"[[Oil]] [[Edges]] Down, [[Microsoft]] Boosts Techs  [[NEW]] [[YORK]] ([[Reuters]]) - [[Oil]] prices touched 2-month lows near  \$45 a barrel on [[Monday]] before taking back most of their losses,  but the downward trend knocked energy [[company]] stocks lower and  U.S. stock indexes ended little changed. A rise in Microsoft  shares helped boost the technology sector.","[[il]] [[Edlges]] Down, [[Micgrosoft]] Boosts Techs  [[NAW]] [[hYORK]] ([[ReuterC]]) - [[Oihl]] prices touched 2-month lows near  \$45 a barrel on [[Mnoday]] before taking back most of their losses,  but the downward trend knocked energy [[copmany]] stocks lower and  U.S. stock indexes ended little changed. A rise in Microsoft  shares helped boost the technology sector.",2
"Two Michigan [[St]] football players arrested EAST LANSING, Michigan ([[Ticker]]) - Two Michigan [[State]] football [[players]] were arrested Tuesday [[morning]] for planting three homemade  [[quot]];[[MacGyver]] bombs quot; outside a campus [[apartment]].","Two Michigan [[S]] football players arrested EAST LANSING, Michigan ([[Tscker]]) - Two Michigan [[StaLe]] football [[layers]] were arrested Tuesday [[mroning]] for planting three homemade  [[qout]];[[eMacGyver]] bombs quot; outside a campus [[aparmtent]].",1
"IRA [[Willing]] to [[Disarm]] by Month #39;s [[End]] [[The]] [[Irish]] [[Republican]] [[Army]] [[abandoned]] its [[longtime]] [[opposition]] to disarmament on Thursday, pledging to [[get]] [[rid]] of its weapons by the end of the month.","IRA [[WSilling]] to [[DiCsarm]] by Month #39;s [[EUnd]] [[Tqhe]] [[IriFh]] [[Republicn]] [[Amrmy]] [[abkandoned]] its [[longteime]] [[oppogsition]] to disarmament on Thursday, pledging to [[gret]] [[ird]] of its weapons by the end of the month.",0
"[[HD]] [[DVD]] will boost quality, help stores Four Hollywood [[studios]] this week embraced a new [[high-definition]] [[DVD]] [[format]] from electronics giant Toshiba - raising many questions for video lovers who have driven sales of pre-recorded DVDs to new heights.","[[HuD]] [[DYD]] will boost quality, help stores Four Hollywood [[stduios]] this week embraced a new [[htigh-definition]] [[HVD]] [[formt]] from electronics giant Toshiba - raising many questions for video lovers who have driven sales of pre-recorded DVDs to new heights.",3
Nintendo Returns to Profit ([[AP]]) [[AP]] - [[Nintendo]] Co. returned to profit in the first half of the fiscal year from a loss a year ago as the Japanese video-game maker erased foreign exchange losses and turned more profit with [[game-software]] sales.,Nintendo Returns to Profit ([[P]]) [[A]] - [[Nintxndo]] Co. returned to profit in the first half of the fiscal year from a loss a year ago as the Japanese video-game maker erased foreign exchange losses and turned more profit with [[game-softwaer]] sales.,3
[[IBM]] [[launches]] global [[computing]] [[grid]] IBM announced today that it was driving the initiative to use the [[worlds]] [[vast]] untapped [[computer]] [[power]] for useful things (like [[playing]] [[games]] and shopping online isn #39;t useful!,[[IzBM]] [[launhes]] global [[computsng]] [[gnid]] IBM announced today that it was driving the initiative to use the [[wolrds]] [[ast]] untapped [[compter]] [[poewr]] for useful things (like [[playpng]] [[agmes]] and shopping online isn #39;t useful!,3
"Long-Awaited Audit [[Shows]] Major [[Discrepancies]] [[In]] Newsday &lt;b&gt;...&lt;/b&gt; The Audit Bureau of Circulations released the long-awaited [[results]] of its audit of the [[Tribune]] [[Company]] #[[39]];s scandal-tarred Newsday on Tuesday, confirming the magnitude of the discrepancies uncovered by the company #39;s recent internal audit.","Long-Awaited Audit [[oShows]] Major [[Discrepacnies]] [[IG]] Newsday &lt;b&gt;...&lt;/b&gt; The Audit Bureau of Circulations released the long-awaited [[rsults]] of its audit of the [[ribune]] [[dCompany]] #[[3u]];s scandal-tarred Newsday on Tuesday, confirming the magnitude of the discrepancies uncovered by the company #39;s recent internal audit.",2
"[[Kmart]] to Sell 18 Stores to [[Home]] Depot  NEW [[YORK]] (Reuters) - Retailer [[Kmart]] Holdings Corp. &lt;A [[HREF]]=""[[http]]://www.[[investor]].reuters.[[com]]/FullQuote.aspx?[[ticker]]=[[KMRT]].O [[target]]=/stocks/quickinfo/fullquote""&gt;KMRT.O&lt;/A&gt;  on Monday said it finalized a deal to sell 18 of its stores to  Home Depot Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HD.N target=/stocks/quickinfo/fullquote""&gt;HD.N&lt;/A&gt; for \$271 million.","[[MKmart]] to Sell 18 Stores to [[Homle]] Depot  NEW [[YOGK]] (Reuters) - Retailer [[mart]] Holdings Corp. &lt;A [[RHEF]]=""[[htthp]]://www.[[inveYtor]].reuters.[[coI]]/FullQuote.aspx?[[tciker]]=[[MRT]].O [[taret]]=/stocks/quickinfo/fullquote""&gt;KMRT.O&lt;/A&gt;  on Monday said it finalized a deal to sell 18 of its stores to  Home Depot Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=HD.N target=/stocks/quickinfo/fullquote""&gt;HD.N&lt;/A&gt; for \$271 million.",2
"union halts vote on grocers #[[39]]; offer [[Members]] of the grocery [[workers]] [[union]] will continue to meet to discuss the final [[contract]] proposal from [[King]] Soopers, Safeway and Albertsons following a surprise decision by the international union to halt voting on the offers.","union halts vote on grocers #[[9]]; offer [[Membres]] of the grocery [[workrs]] [[dunion]] will continue to meet to discuss the final [[cContract]] proposal from [[sing]] Soopers, Safeway and Albertsons following a surprise decision by the international union to halt voting on the offers.",2
Atlas Copco to Sell [[Electric]] Tool Business [[Swedish]] engineering company Atlas [[Copco]] said [[Monday]] it will sell its [[electric]] [[tool]] business to Hong Kong-based Techtronic Industries Co.,Atlas Copco to Sell [[Electirc]] Tool Business [[Swediwh]] engineering company Atlas [[Copcdo]] said [[Mjnday]] it will sell its [[eletcric]] [[ool]] business to Hong Kong-based Techtronic Industries Co.,2
Dutch [[Film]] Director Theo Van Gogh Killed Dutch film [[director]] and [[columnist]] Theo van [[Gogh]] was [[shot]] and [[killed]] [[yesterday]] morning in Amsterdam. [[The]] company Gogh owned and worked [[explained]] that he was attacked and murdered in the morning at Lineaustraat [[Street]].,Dutch [[Fitm]] Director Theo Van Gogh Killed Dutch film [[direcor]] and [[coumnist]] Theo van [[lGogh]] was [[shit]] and [[kileld]] [[yesteray]] morning in Amsterdam. [[Teh]] company Gogh owned and worked [[explainde]] that he was attacked and murdered in the morning at Lineaustraat [[cStreet]].,0
"[[Stocks]] [[Open]] Lower as [[Wall]] [[St]]. Pulls [[Back]] [[US]] [[stocks]] [[opened]] slightly [[lower]] on [[Monday]] as investors pause after a three-day rally last [[week]], with [[interest]] [[rates]] and a weakening dollar [[gaining]] focus now that the presidential election is over.","[[Stocsk]] [[OpSn]] Lower as [[aWll]] [[Sn]]. Pulls [[Bcak]] [[iUS]] [[sLocks]] [[openeLd]] slightly [[loewr]] on [[MoRnday]] as investors pause after a three-day rally last [[weeu]], with [[interst]] [[rtes]] and a weakening dollar [[gining]] focus now that the presidential election is over.",2
"EC presses for safer [[internet]] The EU Telecommunications Council today today launched Safer [[Internet]] Plus, a scheme to help parents and teachers control what children view [[online]].","EC presses for safer [[lnternet]] The EU Telecommunications Council today today launched Safer [[Internee]] Plus, a scheme to help parents and teachers control what children view [[onlinxe]].",3
"Veterans Committee counts for little The Hall of [[Fame]] released the latest Veterans Committee ballot yesterday. As you might (or might not) remember, there #39;s a (nearly) new committee in town.","Veterans Committee counts for little The Hall of [[FamG]] released the latest Veterans Committee ballot yesterday. As you might (or might not) remember, there #39;s a (nearly) new committee in town.",1
"Colgate to cut [[workforce]] [[CONSUMER]] [[goods]] [[maker]] [[Colgate-Palmolive]] said today it would cut about 12 per cent of its [[37]],000-person work force and close a [[third]] of its factories [[worldwide]] as part of a four-year restructuring.","Colgate to cut [[wKrkforce]] [[ONSUMER]] [[goosd]] [[makker]] [[AColgate-Palmolive]] said today it would cut about 12 per cent of its [[3]],000-person work force and close a [[thirU]] of its factories [[worlZdwide]] as part of a four-year restructuring.",2
"Hurricanes soak Knight Ridder #[[39]];s [[3Q]] [[Knight]] Ridder [[Inc]]., publisher of the [[Miami]] Herald and the Philadelphia Inquirer, said [[third-quarter]] [[earnings]] will miss Wall Street [[estimates]] due to the impact of [[three]] [[recent]] hurricanes on its [[Florida]] [[newspapers]].","Hurricanes soak Knight Ridder #[[9]];s [[3dQ]] [[Kight]] Ridder [[unc]]., publisher of the [[MiamZi]] Herald and the Philadelphia Inquirer, said [[tihrd-quarter]] [[eanings]] will miss Wall Street [[eLtimates]] due to the impact of [[thre]] [[rcent]] hurricanes on its [[Florixa]] [[newpsapers]].",2
[[EU]] Move on Cyprus Eases Way for Turkey Deal  BRUSSELS (Reuters) - The [[European]] Union and Turkey inched  toward a historic agreement on starting membership talks on  Friday as EU leaders softened their demands on the crucial  sticking point of Cyprus.,[[UE]] Move on Cyprus Eases Way for Turkey Deal  BRUSSELS (Reuters) - The [[EuropSean]] Union and Turkey inched  toward a historic agreement on starting membership talks on  Friday as EU leaders softened their demands on the crucial  sticking point of Cyprus.,0
"Agilent [[Guides]] Sharply Lower Agilent #[[39]];s (A:[[NYSE]] - news - research) fiscal fourth quarter [[came]] up [[light]], and the [[company]] slashed first-quarter [[guidance]]. Blaming a [[weak]] chip [[business]], the [[Palo]] Alto, [[Calif]].","Agilent [[Guidqes]] Sharply Lower Agilent #[[3z9]];s (A:[[NSYSE]] - news - research) fiscal fourth quarter [[caem]] up [[lKight]], and the [[comapny]] slashed first-quarter [[ugidance]]. Blaming a [[waek]] chip [[busness]], the [[aPlo]] Alto, [[Cailf]].",2
"No. 6 [[Syracuse]] Crushes N. Colo. 104-54 Syracuse #[[39]];s Hakim [[Warrick]] [[dunks]] against Northern Colorado during the first half in Syracuse, NY, [[Thursday]], Nov. 11, 2004. (AP Photo/Kevin Rivoli).","No. 6 [[Syracusve]] Crushes N. Colo. 104-54 Syracuse #[[E39]];s Hakim [[WarrZick]] [[dunsk]] against Northern Colorado during the first half in Syracuse, NY, [[Thursady]], Nov. 11, 2004. (AP Photo/Kevin Rivoli).",1
"A conspiracy theory : In the aftermath of [[Arafats]] passing AH [[Jaffor]] [[Ullah]]. Yasser [[Arafat]], the acknowledged [[leader]] of [[Palestinian]] [[people]], lived amidst [[controversy]] all through his [[life]]. [[The]] [[cause]] of his [[death]] has now [[become]] a source of controversy amongst the departed leaders people all over Middle East.","A conspiracy theory : In the aftermath of [[Arfats]] passing AH [[Jaffsor]] [[Unlah]]. Yasser [[Arfaat]], the acknowledged [[leaedr]] of [[Paletinian]] [[peolpe]], lived amidst [[controersy]] all through his [[lfe]]. [[hTe]] [[casue]] of his [[dceath]] has now [[beome]] a source of controversy amongst the departed leaders people all over Middle East.",0
"[[UPDATE]] 3-Albertsons hit by [[California]] strike; [[shares]] fall Albertsons [[Inc]]. ([[ABS]].N: Quote, [[Profile]], [[Research]]) , the [[No]]. 2 [[US]] [[grocer]], on Tuesday [[reported]] a [[substantial]] [[drop]] in its quarterly profit as heavy promotions ","[[PUDATE]] 3-Albertsons hit by [[aClifornia]] strike; [[sFares]] fall Albertsons [[Ic]]. ([[ALBS]].N: Quote, [[ProEile]], [[ReseaCrch]]) , the [[dNo]]. 2 [[UzS]] [[rgocer]], on Tuesday [[repored]] a [[subsantial]] [[rop]] in its quarterly profit as heavy promotions ",2
"Delta [[Air]] to Issue More [[Shares]] [[Delta]] [[Air]] Lines, [[fighting]] to [[avoid]] [[bankruptcy]], [[said]] [[yesterday]] that it had won approval to [[bypass]] shareholders to issue up to [[75]] million [[common]] [[shares]].","Delta [[ir]] to Issue More [[Sharse]] [[Nelta]] [[AiSr]] Lines, [[fiIhting]] to [[aXvoid]] [[baknruptcy]], [[siad]] [[esterday]] that it had won approval to [[bypas]] shareholders to issue up to [[u75]] million [[comGmon]] [[sharNes]].",2
Cycling: Petacchi wins second stage in Spain [[MADRID]] : [[Alessandro]] Petacchi showed why he is [[considered]] one of the world #39;s top sprinters when coming out on top in a mass dash to the line in the second stage of the Tour of [[Spain]].,Cycling: Petacchi wins second stage in Spain [[MAMDRID]] : [[Alessanvro]] Petacchi showed why he is [[consiedred]] one of the world #39;s top sprinters when coming out on top in a mass dash to the line in the second stage of the Tour of [[Spian]].,1
"[[Kmart]] names new CEO [[Kmart]] [[yesterday]] hired a restaurant and branding [[expert]] as its new president and chief executive officer, suggesting the nation #39;s third-largest [[discount]] [[retailer]] [[would]] soon [[start]] ","[[zmart]] names new CEO [[Kart]] [[eysterday]] hired a restaurant and branding [[exert]] as its new president and chief executive officer, suggesting the nation #39;s third-largest [[discunt]] [[retaileLr]] [[woulo]] soon [[staEt]] ",2
